Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options,category_group,horsepower,torque_nm,displacement_cc,weight_lbs,seat_height_in,fuel_capacity_gal,rating_clean,power_to_weight,hp_per_cc,quality_score,value_score,beginner_score,performance_score,touring_score,commuting_score,utility_base,cluster
aprilia,dorsoduro 1200,2015,Sport touring,3.7,1197,130,115,V2,four-stroke,6-speed,106,67.8,15,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,212,1565,870,Double disc. Bremo. ABS.,Single disc. Bremo. ABS.,120/70-ZR17,190/55-ZR17,Sachs upside-down front fork with fully adjustable compression and rebound damping and spring preload. Wheel travel 167 mm.,Aluminium alloy swingarm Sachs hydraulic shock absorber with adjustable rebound and preload.,"White, red",Sport,130,115,1197,467.37943999999993,34.25196850393701,3.9625800000000004,3.7,0.278146595408647,0.1086048454469507,74,9.683208196194805,20,39.09081093250691,40,50,41.37270273312673,7
aprilia,dorsoduro 750 abs,2017,Super motard,3.4,749.9,92,82,V2,four-stroke,6-speed,92,56.4,12,Injection. Integrated engine management system. Electronic fuel injection with ride-by-wire electronic throttle control.,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,186,1505,870,Double disc. ABS.Stainless steel wave floating wave disc. 4-piston.,Single disc. ABS. Four-piston radial calipers..,120/70-17,180/55-17,Sachs upside - down. Spring preload and hydraulic  rebound adjustable.,Aluminium alloy swingarm. Hydraulic Sachs monoshock  absorber. Spring preload and hydraulic rebound adjustable.,"Blue/silver/red, white/yellow",Adventure / Dual Sport,92,82,749.9,410.05931999999996,34.25196850393701,3.170064,3.4,0.22435778316171429,0.12268302440325377,68,11.146470242120596,60,31.38062002411598,80,50,56.54515500602899,6
aprilia,dorsoduro 900,2022,Super motard,NA,896.1,95.2,90,V2,four-stroke,6-speed,92,67.4,12,Injection. Integrated engine management system. Electronic fuel injection with ride-by-wire electronic throttle control.,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,195,1515,870,Double disc. ABS.Stainless steel wave floating wave disc. 4-piston.,Single disc. ABS. Four-piston radial calipers..,120/70-ZR17,180/55-ZR17,"Kayaba upside-down fork, Ø 41 mm stanchions adjustable in preload and hydraulic rebound damping",Aluminium alloy swingarm Sachs monoshock absorber adjustable in preload and hydraulic rebound damping.,"Adrenalinic Silver, Exciting Dark",Adventure / Dual Sport,95.2,90,896.1,429.9009,34.25196850393701,3.170064,3.5,0.22144638450396362,0.10623814306439014,70,9.437217164176241,60,30.963294589253437,80,50,56.74082364731336,6
aprilia,mana 850 gt,2016,Allround,3.2,839.3,76.1,73,V2,four-stroke,Automatic,88,69,16,Injection. Integrated engine management system. Weber Marelli electronic fuel injection with one 38 mm throttle body,Single Overhead Cams (SOHC),Liquid,Chain,189,1463,800,Double disc. ABS. Four-piston  radial calipers.,Single disc. ABS,120/70-17,180/55-17,43 mm upside-down fork.,Aluminium alloy single-piece swingarm.  Hydraulic shock absorber adjustable in spring preload and rebound damping.,"Orange, black",Standard / Naked,76.1,73,839.3,416.67317999999995,31.496062992125985,4.226752,3.2,0.1826371450161491,0.09067079709281543,64,7.81917362412006,60,25.40030420220363,40,90,52.45007605055091,3
aprilia,mana 850 gt abs,2015,Allround,3.3,839.3,75.1,73,V2,four-stroke,Automatic,88,69,16,Injection. Integrated engine management system. Weber Marelli electronic fuel injection with one 38 mm throttle body,Single Overhead Cams (SOHC),Liquid,Chain,189,1463,800,Double disc. ABS,Single disc. ABS,120/70-17,180/55-17,43 mm upside-down fork.,Aluminium alloy single-piece swingarm.  Hydraulic shock absorber adjustable in spring preload and rebound damping.,"Orange, black",Standard / Naked,75.1,73,839.3,416.67317999999995,31.496062992125985,4.226752,3.3,0.18023718253236268,0.0894793280114381,66,7.695334348380994,60,25.056289003689468,40,90,52.664072250922366,3
aprilia,mojito 125,2016,Scooter,NA,124,9.8,9,Single cylinder,four-stroke,Automatic,NA,NA,8,Carburettor,Overhead Cams (OHC),Air,Belt,115,NA,775,Single disc,Expanding brake (drum brake),120/70-12,130/70-10,Trailing link fork,Hydraulic mono-shock absorber,"Black
",Scooter,9.8,9,124,253.5313,30.511811023622048,2.113376,3.5,0.03865400445625452,0.07903225806451614,70,6.609483614993442,100,4.76148629690999,40,90,58.1903715742275,8
aprilia,rs 125 gp replica,2021,Sport,3.3,124.2,15,10.9,Single cylinder,four-stroke,6-speed,58,47,14.5,Injection. Magneti Marelli M3G ø 32mm ECU,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,129,1353,820,Single disc. ABS. Stainless steel disc with radial 4 piston calliper.,Single disc. Single piston,100/80-R17,130/70-R17,41mm Upside down hydraulic fork,Asymetric swingarm. Hydraulic monoshock with adjustable spring preload.,Black/silver/red/green (GP Replica),Sport,15,10.9,124.2,284.39597999999995,32.28346456692913,3.8304940000000003,3.3,0.052743361562283694,0.12077294685990338,66,10.947940021512167,100,6.781081609133563,40,75,55.84527040228339,8
aprilia,rs 660,2022,Sport,NA,659,100,67,Twin,four-stroke,6-speed,81,63.9,15,"Injection. Airbox with front dynamic air intakes, two Ø48-mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,169,1370,820,Double disc. ABS. Brembo,Single disc. ABS. Brembo.,120/70-ZR17,180/55-ZR17,"Kayaba 41-mm stanchion fork, aluminium radial calliper mounting bracket. Adjustable spring preload and rebound damping.","Aluminium asymmetric swingarm. Adjustable monoshock in spring reload, rebound braking","Acid gold, Lava red, Apex black",Sport,100,67,659,372.58077999999995,32.28346456692913,3.9625800000000004,3.5,0.26839817126369214,0.15174506828528073,70,14.167129797706124,60,37.69345322792484,40,75,54.17336330698121,3
aprilia,rs 660 35kw,2022,Sport,NA,659,46.9,67,Twin,four-stroke,6-speed,81,63.9,15,"Injection. Airbox with front dynamic air intakes, two Ø48-mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,169,1370,820,Double disc. ABS. Brembo,Single disc. ABS. Brembo.,120/70-ZR17,180/55-ZR17,"Kayaba 41-mm stanchion fork, aluminium radial calliper mounting bracket. Adjustable spring preload and rebound damping.","Aluminium asymmetric swingarm. Adjustable monoshock in spring reload, rebound braking","Acid gold, Lava red, Apex black",Sport,46.9,67,659,372.58077999999995,32.28346456692913,3.9625800000000004,3.5,0.12587874232267163,0.07116843702579666,70,5.792131392264442,100,17.264446536988196,40,75,59.06611163424705,3
aprilia,rs 660 limited,2022,Sport,NA,659,100,67,Twin,four-stroke,6-speed,81,63.9,15,"Injection. Airbox with front dynamic air intakes, two Ø48-mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,169,1370,820,Double disc. ABS. Brembo,Single disc. ABS. Brembo.,120/70-ZR17,180/55-ZR17,"Kayaba 41-mm stanchion fork, aluminium radial calliper mounting bracket. Adjustable spring preload and rebound damping.","Aluminium asymmetric swingarm. Adjustable monoshock in spring reload, rebound braking",Red/blue/white,Sport,100,67,659,372.58077999999995,32.28346456692913,3.9625800000000004,3.5,0.26839817126369214,0.15174506828528073,70,14.167129797706124,60,37.69345322792484,40,75,54.17336330698121,3
