Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options,category_group,horsepower,torque_nm,displacement_cc,weight_lbs,seat_height_in,fuel_capacity_gal,rating_clean,power_to_weight,hp_per_cc,quality_score,value_score,beginner_score,performance_score,touring_score,commuting_score,utility_base,cluster
adiva,ad tre,2014,Scooter,NA,205.3,20.6,18.9,Single cylinder,four-stroke,Automatic,NA,NA,13,Carburettor,Single Overhead Cams (SOHC),Air,Belt,118,NA,740,Expanding brake (drum brake),Expanding brake (drum brake),130/70-13,150/70-13,NA,NA,Silver,Scooter,20.6,18.9,205.3,260.14516,29.133858267716537,3.4342360000000003,3.5,0.07918655876588288,0.10034096444227959,70,8.824274419055367,100,10.571499916420228,40,90,59.64287497910506,8
adiva,ad tre 55,2014,Scooter,NA,205.3,20.6,18.9,Single cylinder,four-stroke,Automatic,NA,NA,13,Carburettor,Single Overhead Cams (SOHC),Air,Belt,215,NA,740,Single disc,Single disc,130/70-13,150/70-13,NA,NA,Black with red seats,Scooter,20.6,18.9,205.3,473.9933,29.133858267716537,3.4342360000000003,3.5,0.043460529927321766,0.10034096444227959,70,8.824274419055367,80,5.450462822694594,40,50,47.36261570567365,1
adiva,ad3 300,2019,Scooter,NA,299,29.4,31,Single cylinder,four-stroke,Automatic,72.7,72,11,Injection,Single Overhead Cams (SOHC),Liquid,NA,202,1560,700,Single disc,Single disc,130/60-13,150/70-13,Single two-ways shock absorber,"Engine behaving structural, double rear two-ways shock absorbers preload adjustable on 5 positions","Grahite, Silver, Black",Scooter,29.4,31,299,445.33323999999993,27.559055118110237,2.905892,3.5,0.06601797790795945,0.09832775919732441,70,8.615025280033537,80,8.683890427274799,40,90,54.1709726068187,8
adiva,ad3 300lt,2020,Scooter,NA,299,29.4,30.1,Single cylinder,four-stroke,Automatic,72.7,72,12.2,Injection,Single Overhead Cams (SOHC),Liquid,NA,202,1560,700,Single disc,Single disc,130/60-13,150/70-13,Single two-ways shock absorber,"Engine behaving structural, double rear two-ways shock absorbers preload adjustable on 5 positions","Grahite, Silver, Black",Scooter,29.4,30.1,299,445.33323999999993,27.559055118110237,3.2228984,3.5,0.06601797790795945,0.09832775919732441,70,8.615025280033537,80,8.683890427274799,40,90,54.1709726068187,8
adiva,ad3 400,2018,Scooter,3.3,399,36.7,38.1,Single cylinder,four-stroke,Automatic,84,72,11,Injection,Single Overhead Cams (SOHC),Liquid,NA,257,1560,770,Single disc,Single disc,NA,NA,Wishbone,Double Swing,NA,Scooter,36.7,38.1,399,566.5873399999999,30.314960629921263,2.905892,3.3,0.06477377344859137,0.09197994987468672,66,7.95524474411195,60,8.505543787702994,40,50,42.52638594692575,1
adiva,ad3 400,2019,Scooter,NA,399,36.7,38.1,Single cylinder,four-stroke,Automatic,84,72,11,Injection,Single Overhead Cams (SOHC),Liquid,NA,257,1560,770,Single disc,Single disc,NA,NA,Wishbone,Double Swing,"Red, Blue, White, Graphite, Black",Scooter,36.7,38.1,399,566.5873399999999,30.314960629921263,2.905892,3.5,0.06477377344859137,0.09197994987468672,70,7.95524474411195,60,8.505543787702994,40,50,43.12638594692575,1
adiva,ar3 200,2018,Scooter,NA,190,18.8,17,Single cylinder,four-stroke,Automatic,64,58.8,14,Injection,Overhead Cams (OHC),Liquid,NA,231,1751,700,Single disc,Single disc,120/70-14,120/70-12,Telescopic hydraulic front forks 41mm,Double Swing,"White, Graphite, Wine Red",Scooter,18.8,17,190,509.26721999999995,27.559055118110237,3.698408,3.5,0.036915786568787995,0.09894736842105263,70,8.67942641196979,60,4.512326830602734,40,50,42.12808170765068,1
adiva,n125,2010,Scooter,NA,124,10.3,9.8,Single cylinder,four-stroke,NA,52.4,57.8,6,Carburettor,Single Overhead Cams (SOHC),NA,NA,108,1320,800,Single disc,Expanding brake (drum brake),120/70-12,130/70-12,NA,NA,NA,Scooter,10.3,9.8,124,238.09895999999998,31.496062992125985,1.585032,3.5,0.04325932377025083,0.08306451612903226,70,7.0285896800248855,100,5.421621548493581,40,90,58.3554053871234,8
adiva,n125,2011,Scooter,3.2,124,10.3,9.8,Single cylinder,four-stroke,Automatic,52.4,57.8,6,Carburettor,Single Overhead Cams (SOHC),Air,NA,108,1320,800,Single disc,Expanding brake (drum brake),120/70-12,130/70-12,NA,NA,"Black, white, grey, red, blue, yellow",Scooter,10.3,9.8,124,238.09895999999998,31.496062992125985,1.585032,3.2,0.04325932377025083,0.08306451612903226,64,7.0285896800248855,100,5.421621548493581,40,90,57.4554053871234,8
adiva,r125,2010,Scooter,2.7,124,10.3,9.8,Single cylinder,four-stroke,NA,NA,NA,6,Carburettor,Single Overhead Cams (SOHC),NA,NA,109,1320,800,Single disc,Single disc,120/70-12,120/70-12,NA,NA,NA,Scooter,10.3,9.8,124,240.30357999999998,31.496062992125985,1.585032,2.7,0.042862449240248526,0.08306451612903226,54,7.0285896800248855,100,5.364732796629197,40,90,55.9411831991573,2
adiva,r125,2011,Scooter,3.1,124,10.3,9.8,Single cylinder,four-stroke,Automatic,NA,NA,6,Carburettor,Single Overhead Cams (SOHC),Air,Belt,109,1320,800,Single disc,Single disc,120/70-12,120/70-12,NA,NA,"White, black, grey, yellow, red/black",Scooter,10.3,9.8,124,240.30357999999998,31.496062992125985,1.585032,3.1,0.042862449240248526,0.08306451612903226,62,7.0285896800248855,100,5.364732796629197,40,90,57.1411831991573,2
aeon,3d-350,2018,Scooter,NA,346,25,28.8,Single cylinder,four-stroke,Automatic,82,65.5,13.5,Injection. EFI,NA,Liquid,Chain,212.5,1565,790,Single disc. Hydraulic.,Single disc. Hydraulic.,110/80-14,140/70-15,Hydraulic Tilting System,Dual-damper unit swing arm,Grey,Scooter,25,28.8,346,468.48175,31.10236220472441,3.5663220000000004,3.5,0.053363871698310555,0.07225433526011561,70,5.904997813194923,80,6.870026715178948,40,50,47.717506678794734,1
aeon,3d-350,2019,Scooter,NA,346,27,28.8,Single cylinder,four-stroke,Automatic,82,65.5,13.5,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Chain,212.5,1565,790,Single disc. Hydraulic.,Single disc. Hydraulic.,110/80-14,140/70-15,Hydraulic Tilting System,Dual-damper unit swing arm,"Grey, Black, White",Scooter,27,28.8,346,468.48175,31.10236220472441,3.5663220000000004,3.5,0.057632981434175404,0.07803468208092486,70,6.505797259020345,80,7.481969044771203,40,50,47.8704922611928,1
aeon,3d-350 r,2019,Scooter,NA,346,30,30,Single cylinder,four-stroke,Automatic,82,65.5,13.5,Injection. EFI,Single Overhead Cams (SOHC),Liquid,Chain,224,1565,790,Single disc. Hydraulic.,Single disc. Hydraulic.,110/80-14,140/70-15,Hydraulic Tilting System,Dual-damper unit swing arm,"Grey, Blue, Red",Scooter,30,30,346,493.83487999999994,31.10236220472441,3.5663220000000004,3.5,0.06074905037084461,0.08670520231213873,70,7.406996427758476,80,7.928632307665548,40,50,47.98215807691639,1
aeon,cobra  rs 180,2010,ATV,3.3,169,8.7,10.2,Single cylinder,four-stroke,Automatic,61,57.8,8,Carburettor,NA,Liquid,Chain,165,1050,790,Expanding brake (drum brake),Single disc,21/7-10,21/10-8,"Hydraulic shock, Wishbone","Single hydraulic shock, Unit swing arm","Red/white, black/white",ATV,8.7,10.2,169,363.7623,31.10236220472441,2.113376,3.3,0.023916717042970093,0.0514792899408284,66,3.745674834530065,100,2.6490154190142015,40,50,51.06225385475355,8
aeon,cobra 220,2009,ATV,3.1,196,12.1,13.6,Single cylinder,four-stroke,Automatic,65,59,7.3,Carburettor. Keihin PTG 22,NA,Air,Chain,193,1155,790,Double disc,Expanding brake (drum brake),21/7-10,20/10-9,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm",NA,ATV,12.1,13.6,196,425.49165999999997,31.10236220472441,1.9284556000000002,3.1,0.02843769017705306,0.06173469387755102,62,4.811604127858557,80,3.297060328343351,40,50,45.624265082085834,2
aeon,cobra 220,2019,ATV,NA,196,12.1,13.6,Single cylinder,four-stroke,Automatic,65,59,7.3,Carburettor. Keihin PTG 22,NA,Air,Chain,193,1155,790,Double disc,Expanding brake (drum brake),21/7-10,20/10-9,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm",NA,ATV,12.1,13.6,196,425.49165999999997,31.10236220472441,1.9284556000000002,3.5,0.02843769017705306,0.06173469387755102,70,4.811604127858557,80,3.297060328343351,40,50,46.82426508208584,8
aeon,cobra 320,2008,Prototype / concept model,3.2,272.3,18.8,22,Single cylinder,four-stroke,NA,72.7,65.6,8.5,Carburettor. Keihin PTG 22,NA,NA,NA,206,1300,790,Double disc,Single disc,NA,NA,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm",NA,Other,18.8,22,272.3,454.15171999999995,31.10236220472441,2.2454620000000003,3.2,0.041395857754320524,0.06904149834741094,64,5.57106099304921,80,5.1545087766375595,40,50,46.38862719415939,1
aeon,cobra 320,2009,ATV,2.7,272.3,19.4,19,Single cylinder,four-stroke,Automatic,72.7,65.6,7.3,Carburettor. Keihin PTG 22,NA,Liquid,Chain,211,1300,790,Double disc,Expanding brake (drum brake),21/7-10,20/10-9,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm",NA,ATV,19.4,19,272.3,465.17481999999995,31.10236220472441,1.9284556000000002,2.7,0.04170475091493559,0.07124495042232831,54,5.800084064942999,80,5.198786111256976,40,50,44.89969652781425,2
aeon,cobra 320,2010,ATV,3.3,196,16.1,14.5,Single cylinder,four-stroke,Automatic,72.7,65.6,7.3,Carburettor. Keihin PTG 22,NA,Liquid,Chain,77,745,550,Double disc,Single disc,21/7-10,20/10-9,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm",White,ATV,16.1,14.5,196,169.75573999999997,21.653543307086615,1.9284556000000002,3.3,0.09484215379108832,0.08214285714285716,66,6.9327940080177,100,12.815602758376412,40,50,53.603900689594106,8
aeon,cobra 400,2012,ATV,3.4,346,20.1,30,Single cylinder,four-stroke,Automatic,82,65.6,9.3,Carburettor. Keihin PTG 22,NA,Liquid,NA,207,1300,790,Double disc,Single disc,21/7-10,20/10-9,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm","White, balck",ATV,20.1,30,346,456.35633999999993,31.10236220472441,2.4567996000000005,3.4,0.04404452888722879,0.058092485549132954,68,4.433039170922641,80,5.534174347137888,40,50,47.08354358678447,1
aeon,cobra 400 supermoto,2022,ATV,NA,346,20.1,30,Single cylinder,four-stroke,Automatic,82,65.6,9.3,Carburettor,NA,Liquid,Belt,207,1300,780,Double disc. Hydraulic,Double disc. Hydraulic,165/70-10,225/40-10,Dual hydraulic shock. Double wishbone.,"Single hydraulic shock, Unit swing arm","White/red, black/red",ATV,20.1,30,346,456.35633999999993,30.708661417322837,2.4567996000000005,3.5,0.04404452888722879,0.058092485549132954,70,4.433039170922641,80,5.534174347137888,40,50,47.38354358678447,1
aeon,cobra 50,2009,ATV,3.5,49,3.6,4.5,Single cylinder,two-stroke,NA,40,39.2,5,"Carburettor. Mikuni VM16, 2-stroke",NA,Air,Shaft drive,130,1050,800,Expanding brake (drum brake),Single disc,19/7-8,18/10-8,"Dual hydraulic shock, Single A-arm","Single hydraulic shock, Unit swing arm",NA,ATV,3.6,4.5,49,286.6006,31.496062992125985,1.3208600000000001,3.5,0.012561034415140792,0.07346938775510205,70,6.031288308950064,100,1.0212702188837584,40,50,51.25531755472094,8
aeon,cobra 50,2010,ATV,3.4,49,3.6,4.5,Single cylinder,two-stroke,1-speed,40,39.2,5,Carburettor,NA,Air,Shaft drive,130,1050,800,Expanding brake (drum brake),Single disc,19/7-8,18/10-8,"Dual hydraulic shock, Single A-arm","Single hydraulic shock, Unit swing arm",White,ATV,3.6,4.5,49,286.6006,31.496062992125985,1.3208600000000001,3.4,0.012561034415140792,0.07346938775510205,68,6.031288308950064,100,1.0212702188837584,40,50,50.955317554720935,8
aeon,cobra 50,2012,ATV,2.6,49.3,3,3.7,Single cylinder,two-stroke,Automatic,40,39.2,5,Carburettor,Single Overhead Cams (SOHC),Air,Shaft drive,129,1050,800,Expanding brake (drum brake),Single disc,19/7-8,18/10-8,"Dual hydraulic shock, Single A-arm","Single hydraulic shock, Unit swing arm","White, black",ATV,3,3.7,49.3,284.39597999999995,31.496062992125985,1.3208600000000001,2.6,0.01054867231245674,0.06085192697768763,52,4.719850833346603,100,0.7328143980473386,40,50,48.48320359951183,2
aeon,cobra supermoto,2018,ATV,NA,346,20.1,30,Single cylinder,four-stroke,Automatic,82,65.6,9.3,Carburettor. Keihin PTG 22,NA,Liquid,Belt,207,1300,780,Double disc. Hydraulic,Double disc. Hydraulic,165/70-10,225/40-10,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm","White/red, black/red",ATV,20.1,30,346,456.35633999999993,30.708661417322837,2.4567996000000005,3.5,0.04404452888722879,0.058092485549132954,70,4.433039170922641,80,5.534174347137888,40,50,47.38354358678447,1
aeon,cobra supermoto,2019,ATV,NA,346,20.1,30,Single cylinder,four-stroke,Automatic,82,65.6,9.3,Carburettor. Keihin PTG 22,NA,Liquid,Belt,207,1300,780,Double disc. Hydraulic,Double disc. Hydraulic,165/70-10,225/40-10,"Dual hydraulic shock, Double wishbone","Single hydraulic shock, Unit swing arm",White/Black/Red,ATV,20.1,30,346,456.35633999999993,30.708661417322837,2.4567996000000005,3.5,0.04404452888722879,0.058092485549132954,70,4.433039170922641,80,5.534174347137888,40,50,47.38354358678447,1
