Brand,Model,Year,category_group,cluster,PC1,PC2
adiva,ad tre,2014,Scooter,8,-2.208514742764398,0.6621447115381367
adiva,ad tre 55,2014,Scooter,1,-1.220228667243275,-0.8681031876967681
adiva,ad3 300,2019,Scooter,8,-1.634476915819627,0.054093969030948645
adiva,ad3 300lt,2020,Scooter,8,-1.5609526178528799,0.01723721106682257
adiva,ad3 400,2018,Scooter,1,-0.6858866155670952,-0.85017412025461
adiva,ad3 400,2019,Scooter,1,-0.5810187171655422,-0.8691120572268197
adiva,ar3 200,2018,Scooter,1,-0.9120355131050851,-1.1536324152911452
adiva,n125,2010,Scooter,8,-3.044308124258493,0.8774671037875635
adiva,n125,2011,Scooter,8,-3.2016099718608224,0.905874009245878
adiva,r125,2010,Scooter,2,-3.46076180289503,0.9462004906791451
adiva,r125,2011,Scooter,2,-3.2510260060919243,0.9083246167347258
aeon,3d-350,2018,Scooter,1,-1.1619728367178435,-0.9914435233594494
aeon,3d-350,2019,Scooter,1,-1.1013071370877743,-0.8927192430599925
aeon,3d-350 r,2019,Scooter,1,-0.9615370063026856,-0.8240788994634284
aeon,cobra  rs 180,2010,ATV,8,-2.593232105503006,-0.9792699255480908
aeon,cobra 220,2009,ATV,2,-2.2400308167285474,-0.8692172907595523
aeon,cobra 220,2019,ATV,8,-2.0302950199254415,-0.9070931647039716
aeon,cobra 320,2008,Other,1,-1.8466609446385291,-0.8498436758092577
aeon,cobra 320,2009,ATV,2,-2.1761680178685516,-0.7537944952772718
aeon,cobra 320,2010,ATV,8,-2.7111123818203278,-0.9539412619697926
aeon,cobra 400,2012,ATV,1,-1.6566152431149785,-1.0553127905447404
aeon,cobra 400 supermoto,2022,ATV,1,-1.6116254853466947,-1.113019179553292
aeon,cobra 50,2009,ATV,8,-2.838216656369801,-0.38387222786360004
aeon,cobra 50,2010,ATV,8,-2.890650605570577,-0.3744032593774952
aeon,cobra 50,2012,ATV,2,-3.400371903676407,-0.47270272005725344
aeon,cobra supermoto,2018,ATV,1,-1.6116254853466947,-1.113019179553292
aeon,cobra supermoto,2019,ATV,1,-1.6116254853466947,-1.113019179553292
aeon,crossland 300,2009,ATV,1,-1.093442356085337,-0.8778244856190469
aeon,crossland 300,2010,ATV,1,-0.9885744576837839,-0.8967624225912566
aeon,crossland 600 efi,2018,ATV,1,0.8050565133789074,-3.0035706806195264
aeon,crossland rx 400,2012,ATV,1,-0.8970361248500167,-1.0006566664750034
aeon,crossland x4 400,2012,ATV,1,-0.8746506686106351,-1.0387821632861756
aeon,elite 125,2012,Scooter,8,-2.3201947701799037,0.27093840110913875
aeon,elite 250i,2019,Scooter,8,-2.0546960986895644,0.1933479761758026
aeon,elite 350i,2012,Scooter,8,-1.8922882799896263,0.15081316542454667
